Province,TotalSessions,DistinctViewers,Race,MaleUsers,FemaleUsers,TotalUsers,Gender,SessionPercentage,AgeCohort,DayOfWeek,SessionDate_SA,HourOfDay,Channel,TotalDurationInSeconds,SessionStartTime_SA,Email,Social Media Handle
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/02/13,12,Wimbledon,1.76E+09,38:00.0,Kyle 64@abcmail.com,@Kyle 6
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/01/01,8,SawSee,1.76E+09,59:00.0,Garry 282@gmail.com,@Garry 28
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/30,10,ICC Cricket World Cup 2011,1.76E+09,43:00.0,Shane 22@gmail.com,@Shane 2
Eastern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/01/08,18,Supersport Live Events,1.76E+09,40:00.0,Stephen 153@mail.com,@Stephen 15
Eastern Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),1,2016/03/27,21,CNN,1.76E+09,16:00.0,Lucas 231@yahoo.com,@Lucas 23
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),4,2016/01/06,16,Supersport Live Events,1.76E+09,24:00.0,Filiberto 41@yahoo.com,@Filiberto 4
Eastern Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/05,9,SuperSport Blitz,1.76E+09,06:00.0,Randy 391@yahoo.com,@Randy 39
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/03/08,19,Cartoon Network,1.76E+09,35:00.0,Shane 23@mail.com,@Shane 2
Western Cape,1,1,white,1,0,1,male,0.01,Retired (55+),7,2016/02/20,20,CNN,1.76E+09,34:00.0,Stephen 152@gmail.com,@Stephen 15
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/03/28,7,CNN,1.76E+09,46:00.0,Lloyd 73@mail.com,@Lloyd 7
Western Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/03/31,6,Trace TV,1.76E+09,10:00.0,Lucas 232@gmail.com,@Lucas 23
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),5,2016/03/10,11,SuperSport Blitz,1.76E+09,17:00.0,Raymundo 432@gmail.com,@Raymundo 43
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/01/03,1,Channel O,1.76E+09,58:00.0,Chas 351@yahoo.com,@Chas 35
Mpumalanga,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),2,2016/03/28,1,Boomerang,1.76E+09,23:00.0,Markus 192@gmail.com,@Markus 19
Western Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/03/13,0,Africa Magic,1.76E+09,52:00.0,Hyman 81@yahoo.com,@Hyman 8
North West,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/04,19,SuperSport Blitz,1.76E+09,19:00.0,Cory 102@gmail.com,@Cory 10
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/03/12,17,ICC Cricket World Cup 2011,1.76E+09,50:00.0,Claud 345@mailxyz.com,@Claud 34
Gauteng,1,1,white,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/02/24,11,Trace TV,1.76E+09,13:00.0,Robby 162@gmail.com,@Robby 16
Eastern Cape,1,1,white,1,0,1,male,0.01,Youth (18-24),4,2016/03/02,6,Trace TV,1.76E+09,59:00.0,Bret 312@gmail.com,@Bret 31
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/30,14,ICC Cricket World Cup 2011,1.76E+09,19:00.0,Claud 345@mailxyz.com,@Claud 34
Limpopo,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/09,17,Africa Magic,1.76E+09,16:00.0,Bernardo 324@abcmail.com,@Bernardo 32
Limpopo,1,1,black,0,1,1,female,0.01,Mature Adult (35-44),2,2016/03/14,21,Africa Magic,1.76E+09,23:00.0,Winona 112@gmail.com,@Winona 11
Gauteng,1,1,white,0,1,1,female,0.01,Adult (25-34),1,2016/03/13,20,Cartoon Network,1.76E+09,21:00.0,Lillian 231@yahoo.com,@Lillian 23
Western Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),3,2016/02/09,20,Channel O,1.76E+09,24:00.0,Romeo 375@mailxyz.com,@Romeo 37
Gauteng,1,1,coloured,1,0,1,male,0.01,Youth (18-24),7,2016/01/02,11,Cartoon Network,1.76E+09,22:00.0,Stefan 463@mail.com,@Stefan 46
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,11,Supersport Live Events,1.76E+09,08:00.0,Lane 111@yahoo.com,@Lane 11
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/03/26,11,ICC Cricket World Cup 2011,1.76E+09,21:00.0,Abel 182@gmail.com,@Abel 18
Northern Cape,1,1,white,1,0,1,male,0.01,Youth (18-24),5,2016/02/18,8,Supersport Live Events,1.76E+09,58:00.0,Carter 34@abcmail.com,@Carter 3
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/10,19,SuperSport Blitz,1.76E+09,59:00.0,Earl 425@mailxyz.com,@Earl 42
Kwazulu Natal,1,1,white,0,1,1,female,0.01,Mature Adult (35-44),3,2016/01/05,16,Supersport Live Events,1.76E+09,48:00.0,Iva 265@mailxyz.com,@Iva 26
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),7,2016/02/13,19,SuperSport Live Events,1.76E+09,56:00.0,Wilburn 305@mailxyz.com,@Wilburn 30
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),7,2016/01/23,20,Supersport Live Events,1.76E+09,04:00.0,Len 441@yahoo.com,@Len 44
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),3,2016/02/23,15,Cartoon Network,1.76E+09,11:00.0,Chas 354@abcmail.com,@Chas 35
Western Cape,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),2,2016/03/07,14,ICC Cricket World Cup 2011,1.76E+09,42:00.0,Jacinto 253@mail.com,@Jacinto 25
Western Cape,1,1,white,0,1,1,female,0.01,Retired (55+),3,2016/02/02,22,Cartoon Network,1.76E+09,22:00.0,Seema 265@mailxyz.com,@Seema 26
Gauteng,1,1,coloured,1,0,1,male,0.01,Youth (18-24),4,2016/03/16,0,ICC Cricket World Cup 2011,1.76E+09,32:00.0,Chas 355@mailxyz.com,@Chas 35
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/02/07,23,E! Entertainment,1.76E+09,49:00.0,Valentine 472@gmail.com,@Valentine 47
Gauteng,1,1,coloured,0,1,1,female,0.01,Adult (25-34),3,2016/03/15,11,ICC Cricket World Cup 2011,1.76E+09,28:00.0,Torrie 245@mailxyz.com,@Torrie 24
Eastern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/01/13,22,Channel O,1.76E+09,28:00.0,Stephen 153@mail.com,@Stephen 15
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/05,20,Supersport Live Events,1.76E+09,08:00.0,Bernardo 323@mail.com,@Bernardo 32
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Kids (0-17),7,2016/03/12,11,ICC Cricket World Cup 2011,1.76E+09,38:00.0,Shane 22@gmail.com,@Shane 2
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/19,7,Channel O,1.76E+09,34:00.0,Kip 143@mail.com,@Kip 14
Western Cape,1,1,coloured,0,1,1,female,0.01,Adult (25-34),6,2016/01/22,16,Trace TV,1.76E+09,59:00.0,Gretta 334@abcmail.com,@Gretta 33
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),2,2016/03/07,14,Trace TV,1.76E+09,01:00.0,Romeo 371@yahoo.com,@Romeo 37
Limpopo,1,1,other,0,1,1,female,0.01,Mature Adult (35-44),6,2016/02/12,8,E! Entertainment,1.76E+09,14:00.0,Reagan 142@gmail.com,@Reagan 14
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),1,2016/02/07,7,CNN,1.76E+09,08:00.0,Garry 281@yahoo.com,@Garry 28
Mpumalanga,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/08,19,Supersport Live Events,1.76E+09,36:00.0,Raymundo 431@yahoo.com,@Raymundo 43
Gauteng,1,1,None,0,1,1,female,0.01,Adult (25-34),3,2016/03/08,0,Boomerang,1.76E+09,21:00.0,Torrie 142@gmail.com,@Torrie 14
None,1,1,None,0,0,1,None,0.01,Kids (0-17),4,2016/03/16,12,ICC Cricket World Cup 2011,1.76E+09,16:00.0,Shandra 165@mailxyz.com,None
Gauteng,1,1,None,1,0,1,male,0.01,Adult (25-34),7,2016/01/23,8,Channel O,1.76E+09,26:00.0,Hugh15@mailxyz.com,@Hugh1
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/01/22,19,Supersport Live Events,1.76E+09,30:00.0,Efren 133@mail.com,@Efren 13
Western Cape,1,1,black,0,1,1,female,0.01,Kids (0-17),7,2016/02/27,12,ICC Cricket World Cup 2011,1.76E+09,05:00.0,Loris 91@yahoo.com,@Loris 9
Mpumalanga,1,1,None,1,0,1,male,0.01,Adult (25-34),5,2016/02/18,7,Supersport Live Events,1.76E+09,56:00.0,Romeo 373@mail.com,@Romeo 37
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/02/04,19,Vuzu,1.76E+09,58:00.0,Bret 315@mailxyz.com,@Bret 31
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),1,2016/03/13,20,ICC Cricket World Cup 2011,1.76E+09,20:00.0,Efren 131@yahoo.com,@Efren 13
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),1,2016/02/07,23,MK,1.76E+09,00:00.0,Abel 183@mail.com,@Abel 18
Kwazulu Natal,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/23,10,SuperSport Blitz,1.76E+09,30:00.0,Haywood 91@yahoo.com,@Haywood 9
Limpopo,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,10,ICC Cricket World Cup 2011,1.76E+09,56:00.0,Romeo 374@abcmail.com,@Romeo 37
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),5,2016/03/10,21,Channel O,1.76E+09,04:00.0,Royal 175@mailxyz.com,@Royal 17
Free State,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),1,2016/03/13,8,ICC Cricket World Cup 2011,1.76E+09,09:00.0,Stefan 461@yahoo.com,@Stefan 46
None,1,1,None,0,0,1,None,0.01,Kids (0-17),7,2016/03/26,23,SawSee,1.76E+09,04:00.0,Felipa 391@yahoo.com,None
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/03/29,5,Channel O,1.76E+09,02:00.0,Emerson 243@mail.com,@Emerson 24
Gauteng,1,1,None,1,0,1,male,0.01,Adult (25-34),7,2016/03/05,10,ICC Cricket World Cup 2011,1.76E+09,51:00.0,Bret 312@gmail.com,@Bret 31
Eastern Cape,1,1,white,0,1,1,female,0.01,Kids (0-17),6,2016/03/18,18,Boomerang,1.76E+09,56:00.0,Shelley 234@abcmail.com,@Shelley 23
Gauteng,1,1,black,0,1,1,female,0.01,Adult (25-34),3,2016/03/29,18,Africa Magic,1.76E+09,03:00.0,Cordie 345@mailxyz.com,@Cordie 34
Eastern Cape,1,1,black,1,0,1,male,0.01,Retired (55+),6,2016/03/11,1,Cartoon Network,1.76E+09,03:00.0,Abel 182@gmail.com,@Abel 18
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),4,2016/03/23,13,ICC Cricket World Cup 2011,1.76E+09,35:00.0,Shane 23@mail.com,@Shane 2
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/02,6,CNN,1.76E+09,03:00.0,Valentine 472@gmail.com,@Valentine 47
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),5,2016/03/10,21,Boomerang,1.76E+09,51:00.0,Wilton 411@yahoo.com,@Wilton 41
Gauteng,1,1,None,1,0,1,male,0.01,Adult (25-34),3,2016/02/02,9,CNN,1.76E+09,38:00.0,Jacinto 254@abcmail.com,@Jacinto 25
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/22,22,Cartoon Network,1.76E+09,49:00.0,Shane 23@mail.com,@Shane 2
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),5,2016/02/25,9,ICC Cricket World Cup 2011,1.76E+09,46:00.0,Hyman 84@abcmail.com,@Hyman 8
Western Cape,1,1,white,0,1,1,female,0.01,Mature Adult (35-44),3,2016/03/01,22,Boomerang,1.76E+09,12:00.0,Tiffani 415@mailxyz.com,@Tiffani 41
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),1,2016/02/21,18,Channel O,1.76E+09,12:00.0,Jared 503@mail.com,@Jared 50
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/03/04,7,Supersport Live Events,1.76E+09,52:00.0,Garry 282@gmail.com,@Garry 28
North West,1,1,black,0,1,1,female,0.01,Youth (18-24),4,2016/03/02,16,SuperSport Blitz,1.76E+09,44:00.0,Earline 375@mailxyz.com,@Earline 37
Eastern Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/30,14,E! Entertainment,1.76E+09,04:00.0,Jared 503@mail.com,@Jared 50
Western Cape,1,1,None,1,0,1,male,0.01,Adult (25-34),7,2016/03/19,13,Supersport Live Events,1.76E+09,01:00.0,Lucas 231@yahoo.com,@Lucas 23
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/30,19,ICC Cricket World Cup 2011,1.76E+09,02:00.0,Lloyd 75@mailxyz.com,@Lloyd 7
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/02/03,13,CNN,1.76E+09,50:00.0,Abel 182@gmail.com,@Abel 18
Gauteng,1,1,white,1,0,1,male,0.01,Youth (18-24),5,2016/03/24,15,Supersport Live Events,1.76E+09,07:00.0,Jared 505@mailxyz.com,@Jared 50
Free State,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,11,Supersport Live Events,1.76E+09,36:00.0,Robby 162@gmail.com,@Robby 16
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/19,10,Boomerang,1.76E+09,44:00.0,Len 441@yahoo.com,@Len 44
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,7,SuperSport Blitz,1.76E+09,22:00.0,Len 443@mail.com,@Len 44
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/03,19,CNN,1.76E+09,14:00.0,Abel 183@mail.com,@Abel 18
Gauteng,1,1,white,1,0,1,male,0.01,Youth (18-24),4,2016/01/06,22,SuperSport Blitz,1.76E+09,20:00.0,Dee 215@mailxyz.com,@Dee 21
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/02/25,8,Boomerang,1.76E+09,21:00.0,Markus 195@mailxyz.com,@Markus 19
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),5,2016/01/07,0,Cartoon Network,1.76E+09,31:00.0,Markus 191@yahoo.com,@Markus 19
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Retired (55+),4,2016/03/30,13,ICC Cricket World Cup 2011,1.76E+09,50:00.0,Hyman 85@mailxyz.com,@Hyman 8
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/03/20,10,Channel O,1.76E+09,27:00.0,Dee 212@gmail.com,@Dee 21
None,1,1,None,0,0,1,None,0.01,Kids (0-17),3,2016/03/29,1,DStv Events 1,1.76E+09,31:00.0,Reagan 282@gmail.com,None
Free State,1,1,black,1,0,1,male,0.01,Youth (18-24),2,2016/03/14,22,Channel O,1.76E+09,34:00.0,Robby 163@mail.com,@Robby 16
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),2,2016/03/28,10,Boomerang,1.76E+09,14:00.0,Carter 34@abcmail.com,@Carter 3
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/03,11,Channel O,1.76E+09,34:00.0,Dee 215@mailxyz.com,@Dee 21
Eastern Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),7,2016/01/23,18,M-Net,1.76E+09,55:00.0,Royal 171@yahoo.com,@Royal 17
North West,1,1,black,0,1,1,female,0.01,Youth (18-24),4,2016/01/06,8,Boomerang,1.76E+09,00:00.0,Shandra 262@gmail.com,@Shandra 26
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/02,20,kykNET,1.76E+09,42:00.0,Michel 202@gmail.com,@Michel 20
None,1,1,None,0,0,1,None,0.01,Kids (0-17),4,2016/03/30,19,ICC Cricket World Cup 2011,1.76E+09,02:00.0,Adela 222@gmail.com,None
